Exxon Mobil Corp XOM
,,,,,,
,Date,Open,High,Low,Close,Volume
,"Oct 22, 2020",33.18,34.96,33.02,34.86,"31,831,452"
,"Oct 23, 2020",34.97,35.08,33.86,34.16,"27,429,113"
,"Oct 26, 2020",33.61,33.77,32.95,33.35,"30,888,694"
,"Oct 27, 2020",33.15,33.20,32.70,32.82,"27,100,739"
,"Oct 28, 2020",32.10,32.38,31.52,31.57,"42,136,363"
,"Oct 29, 2020",31.41,33.13,31.11,32.97,"38,622,834"
,"Oct 30, 2020",32.41,33.14,32.01,32.62,"47,897,924"
,"Nov 2, 2020",33.14,34.46,32.57,33.99,"40,130,308"
,"Nov 3, 2020",34.49,34.49,33.13,33.41,"36,772,973"
,"Nov 4, 2020",33.27,34.14,32.53,33.23,"35,410,056"
,"Nov 5, 2020",33.37,33.92,33.14,33.17,"30,824,105"
,"Nov 6, 2020",33.10,33.66,32.62,32.78,"33,985,603"
,"Nov 9, 2020",36.42,38.01,36.06,36.93,"76,879,374"
,"Nov 10, 2020",37.05,37.43,35.98,36.86,"49,055,366"
,"Nov 11, 2020",37.09,37.12,36.19,36.48,"34,124,484"
,"Nov 12, 2020",35.86,36.29,34.87,35.23,"30,955,266"
,"Nov 13, 2020",35.40,36.25,35.38,36.08,"29,260,240"
,"Nov 16, 2020",37.59,38.17,37.10,38.16,"38,596,815"
,"Nov 17, 2020",37.81,38.71,37.38,38.67,"26,521,077"
,"Nov 18, 2020",39.02,39.13,37.20,37.21,"31,068,017"
,"Nov 19, 2020",36.86,37.50,36.56,37.40,"26,954,361"
,"Nov 20, 2020",37.35,37.41,36.78,36.94,"18,359,574"
,"Nov 23, 2020",37.50,39.43,37.28,39.36,"29,367,591"
,"Nov 24, 2020",40.51,42.08,40.22,41.98,"46,979,252"
,"Nov 25, 2020",41.67,41.71,40.65,40.81,"28,178,174"
,"Nov 27, 2020",40.70,40.94,39.87,40.19,"14,971,948"
,"Nov 30, 2020",39.80,39.88,37.97,38.13,"45,614,336"
,"Dec 1, 2020",38.96,39.65,38.47,38.50,"32,503,112"
,"Dec 2, 2020",38.39,40.42,38.34,39.94,"29,369,501"
,"Dec 3, 2020",40.07,40.64,39.73,40.21,"27,038,943"
,"Dec 4, 2020",40.77,41.76,40.65,41.68,"28,723,633"
,"Dec 7, 2020",41.42,41.54,40.67,40.90,"24,899,416"
,"Dec 8, 2020",40.53,42.59,40.44,42.24,"32,573,849"
,"Dec 9, 2020",42.71,43.73,42.38,42.80,"37,824,821"
,"Dec 10, 2020",43.20,44.47,42.76,44.01,"38,058,672"
,"Dec 11, 2020",43.70,43.93,43.21,43.80,"25,478,805"
,"Dec 14, 2020",44.34,44.46,42.18,42.22,"30,595,042"
,"Dec 15, 2020",42.44,43.22,42.06,43.04,"27,239,694"
,"Dec 16, 2020",43.75,44.11,42.96,43.70,"34,273,033"
,"Dec 17, 2020",44.00,44.04,43.40,43.48,"21,204,637"
,"Dec 18, 2020",43.27,43.78,42.42,42.73,"46,596,771"
,"Dec 21, 2020",41.11,42.08,40.53,41.95,"27,869,522"
,"Dec 22, 2020",41.58,41.90,41.23,41.24,"21,811,972"
,"Dec 23, 2020",41.51,42.39,41.46,41.77,"19,085,878"
,"Dec 24, 2020",41.65,41.85,41.38,41.60,"8,039,006"
,"Dec 28, 2020",41.69,42.55,41.52,41.74,"23,877,548"
,"Dec 29, 2020",42.04,42.12,41.20,41.27,"20,287,740"
,"Dec 30, 2020",41.33,42.42,41.27,41.60,"23,807,314"
,"Dec 31, 2020",41.47,41.68,40.97,41.22,"22,786,478"
,"Jan 4, 2021",41.45,42.25,41.00,41.50,"27,764,696"
,"Jan 5, 2021",41.84,44.80,41.83,43.50,"44,035,135"
,"Jan 6, 2021",44.41,45.10,43.70,44.61,"36,484,795"
,"Jan 7, 2021",45.00,45.57,44.53,44.96,"29,528,115"
,"Jan 8, 2021",45.20,45.82,44.95,45.46,"28,628,224"
,"Jan 11, 2021",45.04,47.14,44.75,46.84,"38,290,907"
,"Jan 12, 2021",47.46,48.17,46.91,47.88,"36,915,073"
,"Jan 13, 2021",48.53,48.71,47.69,48.42,"29,000,268"
,"Jan 14, 2021",48.50,51.08,48.50,50.31,"35,474,755"
,"Jan 15, 2021",48.91,49.08,47.29,47.89,"42,411,257"
,"Jan 19, 2021",48.45,49.44,48.35,48.84,"24,932,592"
,"Jan 20, 2021",49.11,49.74,48.99,49.53,"22,342,398"
,"Jan 21, 2021",49.33,49.39,47.68,48.11,"29,058,601"
,"Jan 22, 2021",47.01,47.64,46.64,47.43,"23,264,836"
,"Jan 25, 2021",46.90,47.05,46.16,46.90,"26,395,838"
,"Jan 26, 2021",47.26,47.86,45.85,45.87,"23,976,788"
,"Jan 27, 2021",45.00,46.66,44.53,45.35,"32,410,346"
,"Jan 28, 2021",45.94,46.59,45.69,46.06,"24,967,246"
,"Jan 29, 2021",45.55,46.04,44.51,44.84,"38,961,077"
,"Feb 1, 2021",45.58,45.58,44.29,44.92,"24,412,394"
,"Feb 2, 2021",45.81,46.99,45.28,45.63,"31,940,403"
,"Feb 3, 2021",45.63,47.67,45.42,47.42,"28,459,278"
,"Feb 4, 2021",47.88,48.38,47.25,48.33,"25,280,258"
,"Feb 5, 2021",49.18,50.12,49.04,49.95,"34,980,138"
,"Feb 8, 2021",50.92,52.36,50.71,52.10,"36,998,718"
,"Feb 9, 2021",50.67,50.96,49.77,50.63,"28,976,969"
,"Feb 10, 2021",50.63,51.42,50.39,51.12,"25,723,789"
,"Feb 11, 2021",50.89,50.93,48.78,49.84,"26,972,159"
,"Feb 12, 2021",49.43,50.71,49.41,50.52,"19,756,699"
,"Feb 16, 2021",51.96,52.53,51.62,52.04,"28,060,142"
,"Feb 17, 2021",52.35,53.27,51.80,52.85,"25,552,226"
,"Feb 18, 2021",52.81,52.94,51.86,52.02,"20,627,637"
,"Feb 19, 2021",52.11,52.56,51.92,52.37,"22,607,163"
,"Feb 22, 2021",52.59,54.81,52.59,54.30,"36,435,112"
,"Feb 23, 2021",54.98,55.26,53.74,55.05,"33,527,945"
,"Feb 24, 2021",55.19,57.00,54.87,56.70,"28,728,642"
,"Feb 25, 2021",56.98,57.25,55.35,55.76,"29,670,884"
,"Feb 26, 2021",54.41,55.06,53.12,54.37,"35,291,031"
,"Mar 1, 2021",56.47,57.61,56.13,56.40,"36,998,309"
,"Mar 2, 2021",56.65,56.96,56.02,56.07,"30,302,647"
,"Mar 3, 2021",56.42,57.96,55.88,56.52,"35,358,928"
,"Mar 4, 2021",57.12,59.47,57.10,58.71,"52,137,543"
,"Mar 5, 2021",59.83,61.05,59.11,60.93,"51,429,766"
,"Mar 8, 2021",61.58,61.61,59.82,60.87,"38,154,583"
,"Mar 9, 2021",60.61,61.39,59.47,59.93,"35,645,897"
,"Mar 10, 2021",60.52,61.92,60.03,61.77,"31,579,095"
